country,director,genre,name,score,star,writer,success
USA,Rob Reiner,Adventure,Stand by Me,8.1,Wil Wheaton,Stephen King,Hit
USA,John Hughes,Comedy,Ferris Bueller's Day Off,7.8,Matthew Broderick,John Hughes,Hit
USA,Tony Scott,Action,Top Gun,6.9,Tom Cruise,Jim Cash,Average
USA,James Cameron,Action,Aliens,8.4,Sigourney Weaver,James Cameron,Hit
USA,Randal Kleiser,Adventure,Flight of the Navigator,6.9,Joey Cramer,Mark H. Baker,Average
USA,David Lynch,Drama,Blue Velvet,7.8,Isabella Rossellini,David Lynch,Hit
USA,Howard Deutch,Comedy,Pretty in Pink,6.8,Molly Ringwald,John Hughes,Average
USA,David Cronenberg,Drama,The Fly,7.5,Jeff Goldblum,George Langelaan,Hit
USA,David Seltzer,Comedy,Lucas,6.8,Corey Haim,David Seltzer,Average
USA,John Carpenter,Action,Big Trouble in Little China,7.3,Kurt Russell,Gary Goldman,Hit
USA,Michael Mann,Crime,Manhunter,7.2,William Petersen,Thomas Harris,Hit
USA,Adrian Lyne,Drama,9Â½ Weeks,5.9,Mickey Rourke,Elizabeth McNeill,Flop
USA,Stephen King,Action,Maximum Overdrive,5.4,Emilio Estevez,Stephen King,Flop
USA,Frank Oz,Comedy,Little Shop of Horrors,6.9,Rick Moranis,Howard Ashman,Average
USA,Mike Marvin,Action,The Wraith,5.9,Charlie Sheen,Mike Marvin,Flop
USA,Willard Huyck,Action,Howard the Duck,4.6,Lea Thompson,Steve Gerber,Flop
USA,Stephen Herek,Action,Critters,6,Dee Wallace,Domonic Muir,Average
USA,Alan Metter,Comedy,Back to School,6.6,Rodney Dangerfield,Rodney Dangerfield,Average
USA,Tobe Hooper,Comedy,The Texas Chainsaw Massacre 2,5.6,Dennis Hopper,L.M. Kit Carson,Flop
USA,Clint Eastwood,Action,Heartbreak Ridge,6.8,Clint Eastwood,James Carabatsos,Average
USA,Leonard Nimoy,Adventure,Star Trek IV: The Voyage Home,7.3,William Shatner,Gene Roddenberry,Hit
USA,John Badham,Comedy,Short Circuit,6.6,Ally Sheedy,S.S. Wilson,Average
USA,Sidney J. Furie,Action,Iron Eagle,5.3,Louis Gossett Jr.,Kevin Alyn Elders,Flop
USA,Michael Ritchie,Action,The Golden Child,5.9,Eddie Murphy,Dennis Feldman,Flop
USA,Tim Hunter,Crime,River's Edge,7.1,Crispin Glover,Neal Jimenez,Hit
USA,John Landis,Comedy,Â¡Three Amigos!,6.4,Steve Martin,Steve Martin,Average
USA,George P. Cosmatos,Action,Cobra,5.7,Sylvester Stallone,Paula Gosling,Flop
USA,Martin Scorsese,Drama,The Color of Money,7,Paul Newman,Walter Tevis,Hit
